Model,CV_mean_accuracy,CV_std_accuracy,Test_accuracy,Weighted_precision,Weighted_recall,Weighted_F1,Best_params,Training_time_min
LBP + GLCM + PCA-50 + SVM,0.9639604629551407,0.0038585822703776852,0.954954954954955,0.9554820554820554,0.954954954954955,0.9549655785978187,"{'svc__C': 50, 'svc__gamma': 'scale'}",0.060695282618204754
LBP + GLCM + SVM,0.9639604629551407,0.003045930615421539,0.954954954954955,0.9556659256659256,0.954954954954955,0.9548925044581454,"{'svc__C': 100, 'svc__gamma': 'scale'}",0.09156978130340576
GLCM only + SVM,0.9241784235870576,0.009273020903908113,0.9309309309309309,0.9320052675926079,0.9309309309309309,0.9306492718257424,"{'svc__C': 50, 'svc__gamma': 0.1}",0.0604174534479777
LBP only + SVM,0.9414350482948945,0.011817774944420408,0.9219219219219219,0.9245161518771862,0.9219219219219219,0.9220769369153047,"{'svc__C': 10, 'svc__gamma': 0.1}",0.059952251116434735
